user_id,product_id,quantity,id,title,price,description,category,image,rating,revenue
1,1,4,1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",109.95,"Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",men's clothing,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_t.png,"{'rate': 3.9, 'count': 120}",439.8
1,2,1,2,Mens Casual Premium Slim Fit T-Shirts ,22.3,"Slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a three-button placket.",men's clothing,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_t.png,"{'rate': 4.1, 'count': 259}",22.3
1,3,6,3,Mens Cotton Jacket,55.99,"great outerwear jackets for Spring/Autumn/Winter, suitable for many occasions, such as working, hiking, camping, mountain/rock climbing, cycling, traveling or other outdoors. Good gift choice for you or your family member. A warm hearted love to Father, husband or son in this thanksgiving or Christmas Day.",men's clothing,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_t.png,"{'rate': 4.7, 'count': 500}",335.94
1,2,4,2,Mens Casual Premium Slim Fit T-Shirts ,22.3,"Slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a three-button placket.",men's clothing,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_t.png,"{'rate': 4.1, 'count': 259}",89.2
1,1,10,1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",109.95,"Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",men's clothing,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_t.png,"{'rate': 3.9, 'count': 120}",1099.5
1,5,2,5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,695.0,"From our Legends Collection, the Naga was inspired by the mythical water dragon that protects the ocean's pearl. Wear facing inward to be bestowed with love and abundance, or outward for protection.",jewelery,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_t.png,"{'rate': 4.6, 'count': 400}",1390.0
2,1,2,1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",109.95,"Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",men's clothing,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_t.png,"{'rate': 3.9, 'count': 120}",219.9
2,9,1,9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,64.0,"USB 3.0 and USB 2.0 Compatibility Fast data transfers Improve PC Performance High Capacity; Compatibility Formatted NTFS for Windows 10, Windows 8.1, Windows 7; Reformatting may be required for other operating systems; Compatibility may vary depending on user’s hardware configuration and operating system",electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_t.png,"{'rate': 3.3, 'count': 203}",64.0
3,1,4,1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",109.95,"Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",men's clothing,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_t.png,"{'rate': 3.9, 'count': 120}",439.8
3,7,1,7,White Gold Plated Princess,9.99,"Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her. Gifts to spoil your love more for Engagement, Wedding, Anniversary, Valentine's Day...",jewelery,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_t.png,"{'rate': 3, 'count': 400}",9.99
3,8,1,8,Pierced Owl Rose Gold Plated Stainless Steel Double,10.99,Rose Gold Plated Double Flared Tunnel Plug Earrings. Made of 316L Stainless Steel,jewelery,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_t.png,"{'rate': 1.9, 'count': 100}",10.99
4,10,2,10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,109.0,"Easy upgrade for faster boot up, shutdown, application load and response (As compared to 5400 RPM SATA 2.5” hard drive; Based on published specifications and internal benchmarking tests using PCMark vantage scores) Boosts burst write performance, making it ideal for typical PC workloads The perfect balance of performance and reliability Read/write speeds of up to 535MB/s/450MB/s (Based on internal testing; Performance may vary depending upon drive capacity, host device, OS and application.)",electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_t.png,"{'rate': 2.9, 'count': 470}",218.0
4,12,3,12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,114.0,"Expand your PS4 gaming experience, Play anywhere Fast and easy, setup Sleek design with high capacity, 3-year manufacturer's limited warranty",electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_t.png,"{'rate': 4.8, 'count': 400}",342.0
8,18,1,18,MBJ Women's Solid Short Sleeve Boat Neck V ,9.85,"95% RAYON 5% SPANDEX, Made in USA or Imported, Do Not Bleach, Lightweight fabric with great stretch for comfort, Ribbed on sleeves and neckline / Double stitching on bottom hem",women's clothing,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_t.png,"{'rate': 4.7, 'count': 130}",9.85
